t_start,t_end,ID_old,ID_new,t_added,name,comment
2017-08-28T15:19:00Z,2017-08-28T15:20:30Z,all,NA,2018-08-13T21:27:14Z,Nick,First value in calibrations is incorrect
2016-08-29T16:11:00Z,2016-08-29T19:01:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Large jump in cals
2016-09-01T03:41:00Z,2016-09-01T06:43:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Jump in cals
2016-10-05T10:44:52Z,2016-10-11T18:29:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,All bad data
2016-10-18T21:30:28Z,2016-10-18T21:33:58Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atm contamination
2016-10-18T22:55:00Z,2016-10-18T22:55:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atm contamination
2016-12-12T17:11:00Z,2016-12-12T17:16:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2017-04-07T17:16:10Z,2017-04-07T17:21:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2017-02-07T23:35:10Z,2017-02-07T23:40:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2017-07-10T04:15:48Z,2017-07-10T15:15:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Analyzer drifts over 30 ppm
2017-07-10T15:09:50Z,2017-07-10T15:15:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad Cal
2017-07-17T13:46:00Z,2017-07-17T13:50:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2017-09-25T15:12:20Z,2017-09-25T15:14:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,One Bad cal point
2017-10-16T14:36:30Z,2017-10-16T14:38:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,One bad cal point
2017-12-04T15:18:00Z,2017-12-04T15:20:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2017-12-21T15:25:25Z,2017-12-21T15:28:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,bad cal points
2018-03-21T20:41:56Z,2018-03-21T20:46:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,bad cal before a good cal
2018-03-22T19:35:35Z,2018-03-22T19:37:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atm Contamination
2018-05-07T13:50:00Z,2018-05-07T14:00:00Z,all,NA,2018-08-13T21:27:14Z,Nick,I messed up cals but later recalibrated
2016-02-27T01:00:00Z,2016-02-29T23:25:00Z,all,NA,2018-10-02T18:06:00Z,Ryan,Bad Cal period
2016-05-13T00:01:00Z,2016-05-26T23:00:00Z,all,NA,2018-10-07T12:00:00Z,Ryan,Bad CH4 data
2016-08-23T00:01:00Z,2016-08-24T00:01:00Z,all,NA,2018-10-07T12:01:00Z,Ryan,Bad data
2017-02-06T01:00:00Z,2017-05-08T23:00:00Z,~420.91~5.51,~420.91~5.15,2018-10-08T15:31:00Z,Ryan,Cal tank incorrect
2017-02-06T01:00:00Z,2017-05-08T23:00:00Z,V:5 ~420.91~5.51,~420.91~5.15,2018-10-08T15:31:00Z,Ben,Valve declaration for legacy LGR structure
2018-09-17T13:45:31Z,2018-09-17T16:26:53Z,all,NA,2020-10-06T10:22:00Z,Ryan,Bad Cal
2019-01-30T17:00:00Z,2019-01-30T17:30:00Z,all,NA,2020-10-08T13:36:00Z,Ryan,Drift on reboot
