t_start,t_end,ID_old,ID_new,t_added,name,comment
2021-12-10T23:00:00Z,2021-12-21T20:00:00Z,413.54,NA,2021-12-23T14:18:00Z,JohnLin,Suspect that 413.54 ppm cal tank is erroneous (should have higher ppm value) so set to NA while waiting for actual tank value
2022-01-06T12:07:00Z,2022-01-20T20:06:30Z,-3,501.59,2022-01-20T22:04:40Z,MeganOstlie,Missing cal tank values
2022-01-06T12:07:00Z,2022-01-20T20:06:00Z,-2,443.15,2022-01-20T22:05:50Z,MeganOstlie,Missing cal tank values
2022-01-06T12:07:00Z,2022-01-20T20:06:00Z,-1,398.73,2022-01-20T22:06:50Z,MeganOstlie,Missing cal tank values
2022-01-06T12:07:00Z,2022-01-20T20:06:00Z,-4,436.3,2022-01-20T22:08:20Z,MeganOstlie,Missing cal tank values
2022-03-05T06:10:00Z,2022-03-30T22:45:00Z,-4,436.50,2022-04-01T16:42:00Z,MeganOstlie,Missing cal tank values
2022-03-05T06:10:00Z,2022-03-30T22:45:00Z,-3,501.59,2022-04-01T16:43:00Z,MeganOstlie,Missing cal tank values
2022-03-05T06:10:00Z,2022-03-30T22:45:00Z,-2,443.3,2022-04-01T16:43:00Z,MeganOstlie,Missing cal tank values
2022-03-05T06:10:00Z,2022-03-30T22:45:00Z,-1,398.73,2022-04-01T16:43:00Z,MeganOstlie,Missing cal tank values
2022-05-03T17:00:00Z,2022-05-10T17:20:00Z,all,NA,2022-05-13T16:41:00Z,MeganOstlie,N2 tank was empty
2022-05-10T17:30:00Z,2022-05-11T19:00:00Z,-4,436.5,2022-05-13T16:43:00Z,MeganOstlie,Missing cal tank values
2022-05-10T17:30:00Z,2022-05-11T19:00:00Z,-3,501.59,2022-05-13T16:43:00Z,MeganOstlie,Missing cal tank values
2022-05-10T17:30:00Z,2022-05-11T19:00:00Z,-2,443.3,2022-05-13T16:44:00Z,MeganOstlie,Missing cal tank values
2022-05-10T17:30:00Z,2022-05-11T19:00:00Z,-1,398.73,2022-05-13T16:45:00Z,MeganOstlie,Missing cal tanks values
2022-05-10T17:30:00Z,2022-05-16T14:30:00Z,all,NA,2022-05-17T13:39:00Z,MeganOstlie,Low N2 flow caused unstable readings
2022-06-10T11:00:00Z,2022-06-14T16:00:00Z,all,NA,2022-06-17T14:16:00Z,MeganOstlie,Low N2 flow caused unstable readings
2022-10-23T00:10:00Z,2022-10-27T15:00:00Z,-4,436.5,2022-10-31T18:16:00Z,MeganOstlie,Missing cal tank values
2022-10-23T00:10:00Z,2022-10-27T15:00:00Z,-3,504.76,2022-10-31T18:17:00Z,MeganOstlie,Missing cal tank values
2022-10-23T00:10:00Z,2022-10-27T15:00:00Z,-2,443.3,2022-10-31T15:18:00Z,MeganOstlie,Missing cal tank values
2022-10-23T00:10:00Z,2022-10-27T15:00:00Z,-1,398.73,2022-10-31T15:19:00Z,MeganOstlie,Missing cal tank values
2022-11-05T20:00:00Z,2022-11-18T14:10:00Z,-4,436.5,2023-01-09T16:19:00Z,MeganOstlie,Missing cal tank values
2022-11-05T20:00:00Z,2022-11-18T14:10:00Z,-3,504.76,2023-01-09T16:20:00Z,MeganOstlie,Missing cal tank values
2022-11-05T20:00:00Z,2022-11-18T14:10:00Z,-2,454.34,2023-01-09T16:21:00Z,MeganOstlie,Missing cal tank values
2022-11-05T20:00:00Z,2022-11-18T14:10:00Z,-1,399.68,2023-01-09T16:22:00Z,MeganOstlie,Missing cal tank values
2022-12-31T12:00:00Z,2023-01-16T16:10:00Z,-4,436.5,2023-02-14T18:10:00Z,MeganOstlie,Missing cal tank values
2022-12-31T12:00:00Z,2023-01-16T16:10:00Z,-3,504.73,2023-02-14T18:10:00Z,MeganOstlie,Missing cal tank values
2022-12-31T12:00:00Z,2023-01-16T16:10:00Z,-2,454.34,2023-02-14T18:10:00Z,MeganOstlie,Missing cal tank values
2022-12-31T12:00:00Z,2023-01-16T16:10:00Z,-1,400.98,2023-02-14T18:10:00Z,MeganOstlie,Missing cal tank values
2023-04-17T13:40:00Z,2023-04-19T14:10:00Z,-4,436.50,2023-04-21T17:19:00Z,MeganOstlie,Missing cal tank values
2023-04-17T13:40:00Z,2023-04-19T14:10:00Z,-3,504.46,2023-04-21T17:20:00Z,MeganOstlie,Missing cal tank values
2023-04-17T13:40:00Z,2023-04-19T14:10:00Z,-2,454.34,2023-04-21T17:21:00Z,MeganOstlie,Missing cal tank values
2023-04-17T13:40:00Z,2023-04-19T14:10:00Z,-1,400.98,2023-04-21T17:22:00Z,MeganOstlie,Missing cal tank values
2023-06-06T16:50:00Z,2023-06-12T21:00:00Z,-4,436.50,2023-06-12T21:18:00Z,MeganOstlie,Missing cal tank values
2023-06-06T16:50:00Z,2023-06-12T21:00:00Z,-3,504.46,2023-06-12T21:19:00Z,MeganOstlie,Missing cal tank values
2023-06-06T16:50:00Z,2023-06-12T21:00:00Z,-2,454.34,2023-06-12T21:19:00Z,MeganOstlie,Missing cal tank values
2023-06-06T16:50:00Z,2023-06-12T21:00:00Z,-1,400.98,2023-06-12T21:20:00Z,MeganOstlie,Missing cal tank values
2023-06-28T17:00:00Z,2023-06-28T17:30:00Z,all,NA,2023-06-29T16:59:00Z,MeganOstlie,Bad CO2 values corresponding to site visit
2023-07-04T17:17:30Z,2023-07-04T17:17:40Z,all,NA,2023-08-01T21:17:00Z,MeganOstlie,One CO2 value at 350 while all surrounding values at 430
2023-08-21T20:30:00Z,2023-09-07T20:30:00Z,-4,436.50,2023-09-13T17:54:00Z,MeganOstlie,Missing cal tank values
2023-08-21T20:30:00Z,2023-09-07T20:30:00Z,-3,504.46,2023-09-13T17:54:00Z,MeganOstlie,Missing cal tank values
2023-08-21T20:30:00Z,2023-09-07T20:30:00Z,-2,445.97,2023-09-13T17:54:00Z,MeganOstlie,Missing cal tank values
2023-08-21T20:30:00Z,2023-09-07T20:30:00Z,-1,399.61,2023-09-13T17:54:00Z,MeganOstlie,Missing cal tank values
